country_a,country_b,total_trade_usd,mutual_benefit_pct,gdp_loss_pct_a,gdp_loss_pct_b
Bangladesh,Israel,4,4.0383671292885113e-10,1.659292175673836e-11,6.796995051732169e-12
Australia,Saudi Arabia,12,4.0137495351304775e-10,7.237314835024065e-12,8.846662567057676e-12
Iraq,Spain,8,3.9952312202001995e-10,1.9139316970365978e-11,3.302571939143928e-12
Argentina,Italy,12,3.9919612010031474e-10,3.364659998304694e-11,4.0025985896414554e-12
Pakistan,UK,16,3.98316510834249e-10,7.803887742099943e-11,3.517989877587621e-12
Portugal,Spain,8,3.938113926398646e-10,1.421781614731612e-11,3.302571939143928e-12
Italy,Spain,16,3.9067073154497595e-10,5.336798119521941e-12,6.605143878287856e-12
Australia,Italy,16,3.878818105196405e-10,9.64975311336542e-12,5.336798119521941e-12
Japan,Sri Lanka,16,3.878624265105446e-10,4.400755700543283e-12,1.9066723251269391e-10
Israel,UK,16,3.823896095945599e-10,2.7187980206928677e-11,3.517989877587621e-12
Iran,Sweden,4,3.8203513295250516e-10,9.207784346515542e-12,3.1275874764571955e-12
Pakistan,Spain,8,3.8171256442058704e-10,3.9019438710499714e-11,3.302571939143928e-12
India,Portugal,16,3.790239175499449e-10,4.5770788761913395e-12,2.843563229463224e-11
Bangladesh,Sweden,4,3.772740609522382e-10,1.659292175673836e-11,3.1275874764571955e-12
Japan,Portugal,16,3.6909782542903597e-10,4.400755700543283e-12,2.843563229463224e-11
Croatia,France,12,3.687083096009449e-10,6.313171873361157e-11,2.8226746515742337e-12
Bangladesh,Spain,8,3.6817743009350573e-10,3.318584351347672e-11,3.302571939143928e-12
France,Sri Lanka,12,3.679805119624493e-10,2.8226746515742337e-12,1.4300042438452042e-10
Australia,Iran,8,3.654470476028085e-10,4.82487655668271e-12,1.8415568693031085e-11
Japan,Pakistan,16,3.636956562053273e-10,4.400755700543283e-12,7.803887742099943e-11
France,Saudi Arabia,16,3.6366868550388077e-10,3.7635662020989786e-12,1.1795550089410234e-11
Australia,Bangladesh,8,3.6325449531979033e-10,4.82487655668271e-12,3.318584351347672e-11
Belgium,Iran,4,3.6315089257621123e-10,1.89929636660146e-12,9.207784346515542e-12
Russia,Sri Lanka,8,3.5198889244147513e-10,4.657430651239747e-12,9.533361625634696e-11
Israel,Japan,16,3.5037078868077747e-10,2.7187980206928677e-11,4.400755700543283e-12
Belgium,Japan,16,3.4109502142005036e-10,7.59718546640584e-12,4.400755700543283e-12
Croatia,Germany,16,3.3666806467174087e-10,8.417562497814877e-11,2.1367493326748263e-12
Germany,Sri Lanka,16,3.3621267815331935e-10,2.1367493326748263e-12,1.9066723251269391e-10
Afghanistan,Italy,8,3.3473828816905795e-10,3.450572174614026e-10,2.6683990597609704e-12
Saudi Arabia,UK,16,3.2777723231147893e-10,1.1795550089410234e-11,3.517989877587621e-12
Portugal,Russia,8,3.222533080390749e-10,1.421781614731612e-11,4.657430651239747e-12
Germany,Portugal,16,3.2202147990358746e-10,2.1367493326748263e-12,2.843563229463224e-11
Afghanistan,Saudi Arabia,4,3.188058549527592e-10,1.725286087307013e-10,2.9488875223525585e-12
Germany,Pakistan,16,3.1790177247432974e-10,2.1367493326748263e-12,7.803887742099943e-11
Argentina,France,12,3.1617672643707233e-10,3.364659998304694e-11,2.8226746515742337e-12
Argentina,Argentina,4,3.158227052804617e-10,1.1215533327682316e-11,1.1215533327682316e-11
Pakistan,Russia,8,3.1410640118972354e-10,3.9019438710499714e-11,4.657430651239747e-12
India,Saudi Arabia,16,3.106665796248839e-10,4.5770788761913395e-12,1.1795550089410234e-11
Germany,Israel,16,3.076740094815994e-10,2.1367493326748263e-12,2.7187980206928677e-11
Japan,Saudi Arabia,16,3.0396634159891114e-10,4.400755700543283e-12,1.1795550089410234e-11
Canada,Spain,12,3.02724581070298e-10,4.1072619529941114e-12,4.953857908715892e-12
