country,current_median_age,increased_median_age,median_age_increase,productivity_drop_frac,export_impact_pct_gdp,gdp_loss_usd,labor_ratio
France,42.6,52.6,10,0.033799,1.1236168034715286,35529651808.85541,33.799
France,42.6,57.6,15,0.0506985,1.6854252052072929,53294477713.28311,33.799
Germany,46.8,51.8,5,0.0242185,1.0196053416286128,47512888435.055565,48.437
Germany,46.8,56.8,10,0.048437,2.0392106832572257,95025776870.11113,48.437
Germany,46.8,61.8,15,0.0726555,3.058816024885838,142538665305.16666,48.437
India,29.8,34.8,5,0.006661,0.14106747278074386,5519527495.86064,13.322
India,29.8,39.8,10,0.013322,0.2821349455614877,11039054991.72128,13.322
India,29.8,44.8,15,0.019983,0.4232024183422316,16558582487.581919,13.322
Iran,33.8,38.8,5,0.002563,0.058680695859275135,256379675.67827946,5.126
Iran,33.8,43.8,10,0.005126,0.11736139171855027,512759351.3565589,5.126
Iran,33.8,48.8,15,0.007689,0.17604208757782538,769139027.0348383,5.126
Iraq,22.4,27.4,5,0.001327,0.04977244420016664,139184288.90726173,2.654
Iraq,22.4,32.4,10,0.002654,0.09954488840033328,278368577.81452346,2.654
Iraq,22.4,37.4,15,0.003980999999999999,0.14931733260049987,417552866.72178507,2.654
Israel,30.1,35.1,5,0.022043,0.6267874496792163,3387033527.0546474,44.086
Israel,30.1,40.1,10,0.044086,1.2535748993584326,6774067054.109295,44.086
Israel,30.1,45.1,15,0.066129,1.8803623490376489,10161100581.163942,44.086
Italy,48.4,53.4,5,0.008171,0.2674601863595606,6346227227.419701,16.342
Italy,48.4,58.4,10,0.016342,0.5349203727191212,12692454454.839401,16.342
Italy,48.4,63.4,15,0.024512999999999997,0.8023805590786817,19038681682.259098,16.342
Japan,49.9,54.9,5,0.024928000000000002,0.5447164664371839,21931433316.26243,49.856
Japan,49.9,59.9,10,0.049856000000000004,1.0894329328743677,43862866632.52486,49.856
Japan,49.9,64.9,15,0.074784,1.6341493993115515,65794299948.787285,49.856
Pakistan,22.9,27.9,5,0.0098895,0.10287802851616341,383808970.1252727,19.779
Pakistan,22.9,32.9,10,0.019779,0.20575605703232683,767617940.2505454,19.779
Pakistan,22.9,37.9,15,0.029668499999999997,0.3086340855484902,1151426910.375818,19.779
Portugal,46.4,51.4,5,0.013289500000000003,0.6176913141294681,1906710039.701282,26.579
Portugal,46.4,56.4,10,0.026579000000000005,1.2353826282589362,3813420079.402564,26.579
Portugal,46.4,61.4,15,0.0398685,1.853073942388404,5720130119.103845,26.579
Russia,41.9,46.9,5,0.0114885,0.25178886235641534,5473476447.114977,22.977
Russia,41.9,51.9,10,0.022977,0.5035777247128307,10946952894.229954,22.977
Russia,41.9,56.9,15,0.034465499999999996,0.7553665870692459,16420429341.344927,22.977
Saudi Arabia,32.4,37.4,5,0.006457000000000001,0.1883125687363883,2330424280.8000073,12.914
Saudi Arabia,32.4,42.4,10,0.012914000000000002,0.3766251374727766,4660848561.600015,12.914
Saudi Arabia,32.4,47.4,15,0.019371,0.5649377062091648,6991272842.400021,12.914
Spain,46.8,51.8,5,0.011189500000000002,0.41728759307299984,7188805227.756693,22.379
Spain,46.8,56.8,10,0.022379000000000003,0.8345751861459997,14377610455.513386,22.379
Spain,46.8,61.8,15,0.0335685,1.2518627792189994,21566415683.270073,22.379
Sri Lanka,34.1,39.1,5,0.006254,0.12436904976348948,123079573.43403088,12.508
