country,year,disaster_type,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude
Australia,2019,Flood,1,3.0,9900.0,0.0,2453978000.0,
Australia,2019,Wildfire,2,32.0,2559.0,6927.0,2453978000.0,169967.0
Australia,2020,Flood,1,1.0,0.0,0.0,1454445000.0,
Australia,2020,Storm,2,0.0,0.0,0.0,3272502000.0,
Australia,2021,Flood,4,6.0,19850.0,0.0,2928863000.0,
Australia,2021,Storm,2,1.0,8625.0,0.0,792992000.0,137.5
Australia,2021,Wildfire,1,0.0,0.0,243.0,138918000.0,
Australia,2022,Flood,5,31.0,247200.0,0.0,9053042000.0,
Australia,2023,Flood,4,0.0,1623.0,114.0,0.0,
Australia,2023,Storm,2,10.0,2400.0,0.0,0.0,220.0
Australia,2024,Flood,2,2.0,6200.0,0.0,260000000.0,
Australia,2024,Storm,1,1.0,4400.0,0.0,0.0,
Bangladesh,2000,Earthquake,1,0.0,1000.0,0.0,0.0,4.3
Bangladesh,2000,Epidemic,3,31.0,26214.0,0.0,0.0,
Bangladesh,2000,Extreme temperature,1,49.0,0.0,0.0,0.0,6.4
Bangladesh,2000,Flood,3,43.0,2667138.0,12000.0,910827000.0,8581.0
Bangladesh,2000,Storm,7,99.0,72500.0,73500.0,0.0,92.5
Bangladesh,2001,Extreme temperature,1,6.0,0.0,0.0,0.0,7.0
Bangladesh,2001,Flood,2,9.0,700000.0,0.0,0.0,
Bangladesh,2001,Storm,4,238.0,26000.0,0.0,0.0,110.0
Bangladesh,2002,Epidemic,1,96.0,49904.0,0.0,0.0,
Bangladesh,2002,Extreme temperature,1,700.0,50000.0,0.0,0.0,3.0
Bangladesh,2002,Flood,1,10.0,1500000.0,0.0,0.0,1000.0
Bangladesh,2002,Storm,4,122.0,100000.0,1000.0,0.0,87.5
Bangladesh,2003,Earthquake,1,2.0,2500.0,0.0,0.0,5.7
Bangladesh,2003,Extreme temperature,2,215.0,0.0,0.0,0.0,40.0
Bangladesh,2003,Flood,2,252.0,550000.0,0.0,0.0,4230.0
Bangladesh,2003,Storm,2,51.0,0.0,0.0,0.0,120.0
Bangladesh,2004,Earthquake,1,2.0,0.0,0.0,830377000.0,9.1
Bangladesh,2004,Epidemic,2,32.0,54.0,0.0,0.0,
Bangladesh,2004,Flood,3,761.0,36871500.0,0.0,3653661000.0,21420.0
Bangladesh,2004,Storm,4,239.0,1050.0,14000.0,0.0,120.0
Bangladesh,2005,Extreme temperature,2,100.0,1000.0,0.0,0.0,8.0
Bangladesh,2005,Flood,3,55.0,1150000.0,0.0,0.0,17650.0
Bangladesh,2005,Storm,7,177.0,12000.0,21500.0,0.0,100.0
Bangladesh,2006,Flood,2,0.0,211775.0,0.0,0.0,28080.0
Bangladesh,2006,Storm,5,154.0,14485.0,2400.0,0.0,150.0
Bangladesh,2007,Epidemic,2,86.0,284910.0,0.0,0.0,
Bangladesh,2007,Extreme temperature,1,130.0,100000.0,0.0,0.0,5.0
Bangladesh,2007,Flood,2,1230.0,13851380.0,0.0,172471000.0,7000.0
Bangladesh,2007,Storm,2,4275.0,8923259.0,225.0,3479676000.0,169.0
Bangladesh,2008,Flood,2,28.0,600000.0,35638.0,0.0,59250.0
Bangladesh,2008,Mass movement (wet),1,13.0,0.0,0.0,0.0,
Bangladesh,2008,Storm,2,27.0,0.0,0.0,0.0,90.0
Bangladesh,2009,Drought,1,0.0,0.0,0.0,0.0,
Bangladesh,2009,Extreme temperature,1,135.0,50000.0,0.0,0.0,-6.0
Bangladesh,2009,Flood,2,16.0,500000.0,0.0,0.0,49030.0
Bangladesh,2009,Storm,2,197.0,3947363.0,0.0,394785000.0,95.0
Bangladesh,2010,Flood,2,15.0,575000.0,0.0,0.0,29265.0
Bangladesh,2010,Mass movement (wet),1,66.0,55130.0,0.0,0.0,
Bangladesh,2010,Storm,3,26.0,256910.0,0.0,0.0,120.0
Bangladesh,2011,Extreme temperature,2,62.0,102000.0,0.0,0.0,6.75
Bangladesh,2011,Flood,1,10.0,1570559.0,0.0,0.0,19191.0
Bangladesh,2011,Mass movement (wet),1,17.0,0.0,0.0,0.0,
Bangladesh,2011,Storm,1,13.0,0.0,0.0,0.0,
Bangladesh,2012,Extreme temperature,1,72.0,75000.0,0.0,0.0,7.5
Bangladesh,2012,Flood,2,139.0,5398475.0,0.0,0.0,9560.0
Bangladesh,2012,Storm,2,133.0,129375.0,55000.0,0.0,56.0
Bangladesh,2013,Storm,3,50.0,1531754.0,0.0,26931000.0,
Bangladesh,2014,Flood,2,59.0,3200000.0,0.0,212009000.0,
Bangladesh,2014,Storm,2,20.0,1250.0,4000.0,0.0,
Bangladesh,2015,Earthquake,1,4.0,0.0,0.0,0.0,7.8
Bangladesh,2015,Flood,2,31.0,1391250.0,0.0,52939000.0,
Bangladesh,2015,Mass movement (wet),1,7.0,1000.0,0.0,0.0,
Bangladesh,2015,Storm,4,117.0,2660000.0,0.0,58233000.0,
Bangladesh,2016,Earthquake,1,5.0,0.0,0.0,0.0,6.7
Bangladesh,2016,Flood,1,106.0,1900000.0,0.0,196050000.0,45667.11
Bangladesh,2016,Storm,2,87.0,1083855.0,119700.0,784199000.0,
Bangladesh,2017,Epidemic,1,15.0,0.0,0.0,0.0,
Bangladesh,2017,Flood,2,144.0,8076725.0,9300.0,803675000.0,
Bangladesh,2017,Mass movement (wet),1,160.0,80000.0,0.0,0.0,
Bangladesh,2017,Storm,2,19.0,3300000.0,0.0,0.0,135.0
Bangladesh,2018,Extreme temperature,1,34.0,0.0,0.0,0.0,2.6
Bangladesh,2018,Flood,2,35.0,14000.0,0.0,0.0,3882.39
Bangladesh,2018,Storm,1,33.0,0.0,0.0,0.0,
Bangladesh,2019,Extreme temperature,1,50.0,0.0,0.0,0.0,7.9
Bangladesh,2019,Flood,1,114.0,7600000.0,0.0,92024000.0,
Bangladesh,2019,Mass movement (wet),1,2.0,18000.0,0.0,0.0,
Bangladesh,2019,Storm,3,94.0,251435.0,10000.0,7098000.0,165.0
Bangladesh,2020,Flood,1,257.0,5448271.0,0.0,606019000.0,
Bangladesh,2020,Storm,1,26.0,2600000.0,0.0,1818057000.0,
Bangladesh,2021,Flood,1,21.0,268744.0,0.0,0.0,
Bangladesh,2021,Storm,1,3.0,1300000.0,0.0,0.0,150.0
Bangladesh,2022,Flood,1,141.0,7200000.0,0.0,495741000.0,
Bangladesh,2022,Storm,1,35.0,1000000.0,0.0,0.0,95.0
Bangladesh,2023,Epidemic,1,127.0,0.0,0.0,0.0,
Bangladesh,2023,Flood,1,4.0,1000000.0,0.0,0.0,
Bangladesh,2023,Storm,3,16.0,2250000.0,0.0,258403000.0,165.0
Bangladesh,2024,Extreme temperature,1,10.0,33000000.0,0.0,0.0,38.0
Bangladesh,2024,Flood,3,96.0,11188931.0,0.0,189600000.0,
Bangladesh,2024,Storm,2,18.0,4590000.0,0.0,90700000.0,111.0
